% X                       Y                        sigma11 @ t=5            sigma22 @ t=5            sigma12 @ t=5            D1 @ t=5                 D2 @ t=5
-0.96                     -1.96                    -0.41968093970406556     4.8171064795538357E-4    0.02810568275778154      -0.2725228109101442      0.006562318742205496
-0.9199999999999999       -1.96                    -0.44728579797148416     6.11233080783917E-4      0.027897728821603948     -0.2790574177606783      0.006233168002989502
-0.8799999999999999       -1.96                    -0.4744726240949007      7.126566808222032E-4     0.027320980122350652     -0.2852262717461866      0.005901805512517733
-0.8400000000000001       -1.96                    -0.5010557997830749      7.919590087479694E-4     0.026409433006546815     -0.291033857189947       0.005568866797643748
-0.8                      -1.96                    -0.5266748934793979      9.549357184170243E-4     0.026233470320759483     -0.29660361085022213     0.005234446810336066
-0.76                     -1.96                    -0.5517939426708617      9.651615024004814E-4     0.024659634870807953     -0.3016883570891271      0.004898988500021323
-0.72                     -1.96                    -0.5756573216938033      0.0010784154044514854    0.023815393054725534     -0.30652303036720613     0.004562883131294909
-0.6799999999999999       -1.96                    -0.5985419074940918      0.0011505455861963373    0.02265772121728396      -0.3109965875276517      0.004226245537408198
-0.6399999999999999       -1.96                    -0.6203191073191683      0.0011854236272786645    0.02124886820209708      -0.315113557661782       0.003889680855151352
-0.5999999999999999       -1.96                    -0.6404816607929292      0.0013592649009158617    0.02046113824104548      -0.3189520493060597      0.003553275963535975
-0.56                     -1.96                    -0.6598751595219123      0.0012975897840834874    0.018545698990332607     -0.32235878873803575     0.0032174434222834516
-0.52                     -1.96                    -0.6774509280646132      0.0013917611798526727    0.017233440284982283     -0.32548160501772827     0.002882538920772757
-0.48                     -1.96                    -0.6936755991535482      0.0014329333796078009    0.015689444257467558     -0.32825259341553653     0.0025486663618360453
-0.43999999999999995      -1.96                    -0.7084709085043216      0.0014246235952316208    0.013994838231601747     -0.33067672848468416     0.002216366646420692
-0.3999999999999999       -1.96                    -0.7212200064275327      0.001599784086836177     0.01264660871861572      -0.3327979294443168      0.0018857161720101066
-0.3599999999999999       -1.96                    -0.7330738203032149      0.00147718824392324      0.010727746930425247     -0.3345383974302322      0.0015570744423300566
-0.32000000000000006      -1.96                    -0.7427803154763756      0.00154692754212217      0.009130652445552518     -0.33597618995487016     0.001230750094776377
-0.28                     -1.96                    -0.7509424620635563      0.001558087948471551     0.007398334455554399     -0.33707615678129216     9.068307678574521E-4
-0.24                     -1.96                    -0.7575256249710974      0.001514961265155032     0.0056197204824673126    -0.3378437618732881      5.857747379615277E-4
-0.19999999999999996      -1.96                    -0.7619124253153279      0.0016628832862904674    0.003966236112142641     -0.3383072259935922      2.6764712537620094E-4
-0.15999999999999992      -1.96                    -0.7653155924021238      0.0015127536510867387    0.0021687472182425373    -0.3384202805304373      -4.725733690005753E-5
-0.11999999999999988      -1.96                    -0.7665236383167262      0.0015521826960345833    4.68496052815205E-4      -0.3382342384513275      -3.5868205665572236E-4
-0.08000000000000007      -1.96                    -0.7661558303244621      0.001536316425333431     -0.0012656310356864084   -0.3377284945164236      -6.665580974002661E-4
-0.040000000000000036     -1.96                    -0.7642162411863986      0.0014701880446091956    -0.0029482502090183993   -0.3369088921638615      -9.705180040158676E-4
0                         -1.96                    -0.7601903487886261      0.0015695306882096416    -0.004724087807533188    -0.33579751825541987     -0.00127050822795376
0.040000000000000036      -1.96                    -0.7551382942648138      0.0014202355297240413    -0.006237299200399261    -0.33436036466563845     -0.0015663033461094465
0.08000000000000007       -1.96                    -0.7480927318275834      0.0014252240672549404    -0.007872398972675967    -0.3326404219007828      -0.001857701410580826
